Hamster,Sandwich
0.00006722,0.99993277
0.99952328,0.00047678
0.99193329,0.00806668
0.99929261,0.00070735
0.99886596,0.00113409
0.99975580,0.00024421
0.99956065,0.00043931
0.99836987,0.00163018
0.99919564,0.00080440
0.99683303,0.00316699
0.99821258,0.00178742
0.99886465,0.00113538
0.99795675,0.00204328
0.99952006,0.00047995
0.99945921,0.00054080
0.99972361,0.00027639
0.98806971,0.01193035
0.99300039,0.00699961
0.99884462,0.00115529
0.99811268,0.00188737
0.99694568,0.00305436
0.99722052,0.00277944
0.99976617,0.00023384
0.99463129,0.00536876
0.00276088,0.99723911
0.00070376,0.99929619
0.00325415,0.99674582
0.00060616,0.99939382
0.00338145,0.99661851
0.00011103,0.99988890
0.00237593,0.99762410
0.00017373,0.99982625
0.00008551,0.99991453
0.00033742,0.99966264
0.00058304,0.99941695
0.00120462,0.99879539
0.00206236,0.99793768
0.00672775,0.99327224
