Hamster,Sandwich
0.00028079,0.99971920
0.99793363,0.00206635
0.98118901,0.01881094
0.99729127,0.00270876
0.99652290,0.00347711
0.99985194,0.00014802
0.99878007,0.00121996
0.99866354,0.00133643
0.99924397,0.00075604
0.99803334,0.00196661
0.99806052,0.00193948
0.99830139,0.00169855
0.99879324,0.00120667
0.99908710,0.00091290
0.99917692,0.00082305
0.99890578,0.00109419
0.98700941,0.01299057
0.99473250,0.00526749
0.99889636,0.00110363
0.99919659,0.00080344
0.99891114,0.00108891
0.99846578,0.00153420
0.99951077,0.00048923
0.96663326,0.03336671
0.00080386,0.99919611
0.00044666,0.99955326
0.00258723,0.99741274
0.00095805,0.99904197
0.00094652,0.99905354
0.00048012,0.99951994
0.00289000,0.99711007
0.00080496,0.99919504
0.00012149,0.99987853
0.00065249,0.99934751
0.00034090,0.99965906
0.00096699,0.99903297
0.00084100,0.99915898
0.00151559,0.99848443
